English	Russian	In computing, a payload is the carrying capacity of a packet or other transmission data unit. Technically, the payload of a specific packet or other protocol data unit (PDU) is the actual transmitted data sent by communicating endpoints;	В вычислениях полезная нагрузка - это пропускная способность пакета или другого блока данных передачи. Технически, полезная нагрузка конкретного пакета или другого протокольного блока данных (PDU) представляет собой фактические передаваемые данные, отправленные посредством сообщающихся конечных точек;
English	Russian	Routing refers to establishing the routes that data packets take on their way to a particular destination. This term can be applied to data traveling on the Internet, over 3G or 4G networks, or over similar networks used for telecom and other digital communications setups.	Маршрутизация относится к установлению маршрутов, по которым пакеты данных направляются в конкретный пункт назначения. Этот термин может применяться к данным, передаваемым через Интернет, по сетям 3G или 4G или по аналогичным сетям, используемым для телекоммуникаций и других установок цифровой связи.
English	Russian	endeavours	стремится
English	Russian	negligible	незначительный
English	Russian	I am a lawyer by education, but a programmer on self-education	Я юрист по образованию, но программист по самообразованию
English	Russian	handset	телефонная трубка
English	Russian	regardless	несмотря на
English	Russian	humility	смирение
English	Russian	trivia night	пустяки
English	Russian	fluke	счастливая случайность
English	Russian	reciprocate	отвечать взаимностью
English	Russian	rearrange	перестраивать
English	Russian	forsake	оставлять
English	Russian	refrain	воздерживаться
English	Russian	lose touch	терять связь
English	Russian	middleware	промежуточный слой
Russian	English	на окраине города	on the outskirts of the city
English	Russian	keen on	сосредоточься
English	Russian	without further ado	без дальнейших церемоний
English	Russian	right off the bat	с места в карьер
English	Russian	illuminate	освещать
English	Russian	much awaited	долгожданный
English	Russian	embezzlement	растрата
English	Russian	finders fee	плата за поиск
English	Russian	cloak and dagger	плащ и кинжал
English	Russian	cantaloupe	мускусная дыня
English	Russian	indicative	ориентировочный
English	Russian	per se	как таковой
English	Russian	insufferable	невыносимый
English	Russian	grouch	брюзжать
English	Russian	sleep around	спать вокруг
English	Russian	harsh	суровый
English	Russian	disturbing behavior	тревожное поведение
English	Russian	deviant	отклоняющееся
English	Russian	feasible	выполнимый
English	Russian	piggy bank	копилка
Spanish	Russian	inferior	ниже
Russian	Spanish	ты знаешь кто я?	sabes quien soy
English	Russian	endeavour	прилагать усилия
English	Russian	push the tempo	поднажмите
English	Russian	gratification	удовлетворение
English	Russian	preliminary	предварительный
English	Russian	intermittent	прерывистый
English	Russian	adultery	прелюбодеяние
English	Russian	mellow	созревать
English	Russian	venue	место встречи
German	Russian	wunderbar	замечательный
English	Russian	disperse	рассеивать
English	Russian	pompous	напыщенный
English	Russian	infatuated	увлечен
English	Russian	gradually	постепенно
English	Russian	hindsight	непредусмотрительность
English	Russian	overstatement	завышение
English	Russian	haunting	преследующий
English	Russian	backlash	люфт
English	Russian	retain	сохранить
English	Russian	wipe down	протереть
English	Russian	mastermind	вдохновитель
English	Russian	invasive	агрессивный
English	Russian	head over to	направиться к
English	Russian	lucid	ясный
English	Russian	freeze frame	стоп-кадр
English	Russian	prompt	незамедлительный
French	Russian	vocation	призвание
English	Russian	make amends	делать поправки
English	Russian	clash	конфликтовать
English	Russian	daunting	пугающим
English	Russian	discreet	сдержанный
English	Russian	prominence	протуберанец
English	Russian	as timely as	так же своевременно, как
English	Russian	pledge of allegiance	клятва верности
English	Russian	assess	оценить
English	Russian	convoluted	извилистый
English	Russian	temperance	умеренность
English	Russian	delusion	наваждение
English	Russian	intent	намерение
English	Russian	show-and-tell	показать и рассказать
English	Russian	porcelain	фарфор
English	Russian	renowned	прославленный
English	Russian	dissed	неуважительно отозвался
English	Russian	impersonation	олицетворение
English	Russian	rerun	повторный показ
English	Russian	alienate	отчуждать
English	Russian	detergent	моющее средство
English	Russian	passed	прошло
English	Russian	pair of slacks	пара брюк
English	Russian	slacks	широкие брюки
English	Russian	shackle	дужка
English	Russian	solong	пока
English	Russian	As Good As It Gets	Лучше не бывает
English	Russian	overthinking	накручивание
English	Russian	crossbow	арбалет
English	Russian	under construction	в разработке
English	Russian	desecration	осквернение
English	Russian	illiterate	неграмотный
English	Russian	latency	задержка
English	Russian	wipers	дворники
English	Russian	hoist	подъемник
Russian	English	как это проявляется?	How is this manifested?
English	Russian	go for it	Действуй
русский	английский	наоборот	conversely
английский	русский	rate of fire	скорость огня
английский	русский	supreme	высший
английский	русский	abandon	отказаться от
английский	русский	discourage	отговаривать
английский	русский	define	определять
русский	английский	профилактика	prevention
английский	русский	apparently	по всей видимости
английский	русский	match	совпадение
английский	русский	forged	кованый
английский	русский	crucible	тигель
английский	русский	tip of the spear	наконечник копья
английский	русский	crack	трещина
английский	русский	notion	понятие
английский	русский	readiness	готовность
английский	русский	deliverance	избавление
английский	русский	delusion	наваждение
английский	русский	baptize	крестить
английский	русский	redeemer	избавитель
английский	русский	cufflinks	запонки
английский	русский	impersonating	имитированы
английский	русский	doomed	обреченный
английский	русский	psych ward	психиатр
английский	русский	dissected for study	расчлененный для изучения
английский	русский	bluish	голубоватый
английский	русский	invasion	вторжение
английский	русский	outcome	исход
английский	русский	inadvertently	ненароком
английский	русский	vulnerability	уязвимость
английский	русский	bollocks	ерунда
английский	русский	ambush	засада
английский	русский	circumstance	обстоятельство
английский	русский	succumb	поддаваться
английский	русский	relevant	Соответствующий
английский	русский	leash	привязь
английский	русский	references	Рекомендации
русский	английский	противоречивый	contradictory
английский	русский	mild	мягкий
английский	русский	appeal	обращение
английский	русский	involved	участвует
